DAM,DOB,NULL_CHECK,SEX,SIRE,TRT,BRAIN.AVP_ANTERIOR_PVN,BRAIN.AVP_MEDIAL_PVN,BRAIN.AVP_POSTERIOR_PVN,BRAIN.AVP_SON,BRAIN.OT_ANTERIOR_PVN,BRAIN.OT_MEDIAL_PVN,BRAIN.OT_POSTERIOR_PVN,BRAIN.OT_SON,BRAIN.TH_BNST,BRAIN.TH_PVN,BRAIN.VOLE_COUNT,BEH.OF_BOUTS_CENTER,BEH.OF_DUR_CENTER,BEH.OF_TOT_DIST,BEH.NS_BOUTS_EMPTY,BEH.NS_DUR_EMPTY,BEH.NS_LAT_EMPTY,BEH.NS_BOUTS_STRANGER,BEH.NS_DUR_STRANGER,BEH.NS_LAT_STRANGER,BEH.NS_INDEX,BEH.NS_PCT_WSTRANGER,BEH.NS_TOT_DIST,BEH.SP_BOUTS_CAGEMATE,BEH.SP_DUR_CAGEMATE,BEH.SP_LAT_CAGEMATE,BEH.SP_BOUTS_STRANGER,BEH.SP_DUR_STRANGER,BEH.SP_LAT_STRANGER,BEH.SP_TOT_DIST,BEH.SP_INDEX,BEH.NO_TRIAL2_OBJ1_TOT_DUR,BEH.NO_TRIAL2_OBJ2_TOT_DUR,BEH.NO_TRIAL2_TOT_DIST,BEH.NO_TRIAL3_OBJ1_TOT_DUR,BEH.NO_TRIAL3_OBJ2_TOT_DUR,BEH.NO_TRIAL3_TOT_DIST,BEH.PP_PARTNER_TOT_BOUTS,BEH.PP_PARTNER_TOT_DUR,BEH.PP_PARTNER_LAT,BEH.PP_TOT_DIST,BEH.PP_STRANGER_TOT_BOUTS,BEH.PP_STRANGER_TOT_DUR,BEH.PP_STRANGER_LAT,BEH.PP_INDEX,BEH.VOLE_COUNT
140,2/23/2018,Complete Data,M,120,MID,5.5,59.7,42,42.5,43.5,79,75,17.5,27,83,2,12,42.245,76924.305,18.5,80.83,24.225,20,46.495,301.82,-0.53775,0.23115,4855.95,10.5,42.61,84.435,14.5,57.305,88.09,6569.145,-0.32735,3.5,3.47,4374.8,0,6.81,4953.21,12,286.85,0,7223.34,6,84.42,16.88,0.5452,2
140,5/3/2018,Incomplete Data,M,120,CTRL,6,61,,41.5,49,52,,19.5,23,57,1,,,,15,114.21,6.47,7,312.78,46.05,0.465,0.7325,5923.88,5,109.88,1.63,11,150.75,102.47,5884.93,0.1568,21.12,56.99,3793.12,23.62,29.13,2763.09,8,351.79,153.35,6458.46,6,41.44,31.06,0.7892,1
106,2/25/2018,Incomplete Data,M,119,LOW,,61.7,25,41,,32.7,38,19,22,76,2,19,92.245,51834.58,16,54.705,126.28,13.5,104.355,64.635,0.3309,0.66545,5719.065,8,35.62,316.965,14,59.86,7.39,3571.395,0.53375,24.625,40.66,5147.51,9.91,29.05,4121.185,6,214.63,99.58,5851.14,8,172.47,63.88,0.0963,2
153,2/26/2018,Incomplete Data,M,179,MID,22.5,63.7,,34,74,52,,27.5,39,61,1,,,,,,,,,,,,,,,,,,,,0.0252,12.91,16.35,6499.86,29.6,14.48,4830.22,,,,,,,,,1
H1-2C,3/28/2018,Complete Data,M,H1-5D,HIGH,12.5,35.7,3,40,27.5,58.3,42,13,36,71,1,13,28.26,35506.11,17,48.52,104.5,0,0,600,-1,0,4773.52,12,42.64,321.25,5,34.97,233.73,4324.72,-0.0988,6.84,52.42,3181.96,40.11,37.34,6803.94,18,332,9.91,12892.14,17,61.9,67.47,0.6857,1
132,6/24/2018,Incomplete Data,M,148,HIGH,23,55,,42.5,38,59.3,,27,10,85,2,18,36.335,84717.775,16,139.24,1.85,18.5,315.03,23.255,0.38665,0.69335,12365.015,18,181.415,8.04,18.5,238.14,14.115,13862.295,0.13455,31.9,81.65,14028.97,24.69,39.34,11744.8,25,185.42,2.64,19810.26,20,253.15,34.5,-0.1544,2
170,2/26/2018,Incomplete Data,F,117,MID,,43,20,35,,46,27,20.5,16,85,2,19.5,44.495,72229.055,22.5,63.03,12.36,1,1.52,383.55,-0.9498,0.0251,9476.015,12,53.17,337.955,12,45.345,304.27,9487.435,-0.0794,37.47,85.05,8634.05,19.585,80.7,7376.19,16.5,180.11,11.81,11559.245,10,111.595,10.945,0.2945,2
102,2/14/2018,Complete Data,M,H1-6E,MID,3.5,49.7,9,28,19.5,44.7,36,10,3,46,2,21.5,46.395,63552.76,32,103.235,128.565,4,14.55,53.37,-0.77345,0.1133,4133.695,18,49.8,22.17,0,0,600,6623.19,-1,52.65,68.7,10020.295,34.735,38.855,8109.09,12,147.115,118.22,10518.3,11.5,190.075,213.93,-0.22415,2
105,2/24/2018,Complete Data,M,121,LOW,5.5,69.7,18,31,72,81.7,100,17.5,19,61,2,5,21.54,28996.865,22.5,118.7,14.23,4.5,44.93,343.395,-0.6133,0.19335,2925.705,16,110.41,76.71,12,61.59,5.91,4364.5,-0.37885,1.5,46.83,2609.175,21.485,45.425,3225.035,6,101.35,2.4,7178.445,6.5,186.27,190.84,-0.1939,2
210,4/7/2018,Complete Data,F,H1-2B,HIGH,3.75,49.5,49.5,24.25,35.5,66.7,71,14,9,75.5,2,23,136.14,59164.97,18,117.12,171.17,11,35.2,7.01,-0.5378,0.2311,4110.3,9,45.95,96.23,2,3,20.22,1870.3,-0.8774,36.37,87.82,8951.23,30.4,34.77,8204.13,7,172.51,51.32,7509.19,9,267.7,2.44,-0.2162,2
