VOLE_ID,DAM,DAY,MONTH,DOB,EAR_TAG,NULL_CHECK,PAIR_INDEX,SEX,SIRE,TRT,AVP_ANTERIOR_PVN,AVP_MEDIAL_PVN,AVP_POSTERIOR_PVN,AVP_SON,OT_ANTERIOR_PVN,OT_MEDIAL_PVN,OT_POSTERIOR_PVN,OT_SON,TH_BNST,TH_PVN,VOLE_COUNT,BEH.OF_BOUTS_CENTER,BEH.OF_DUR_CENTER,BEH.OF_TOT_DIST,BEH.NS_BOUTS_EMPTY,BEH.NS_DUR_EMPTY,BEH.NS_LAT_EMPTY,BEH.NS_BOUTS_STRANGER,BEH.NS_DUR_STRANGER,BEH.NS_LAT_STRANGER,BEH.NS_INDEX,BEH.NS_PCT_WSTRANGER,BEH.NS_TOT_DIST,BEH.SP_BOUTS_CAGEMATE,BEH.SP_DUR_CAGEMATE,BEH.SP_LAT_CAGEMATE,BEH.SP_BOUTS_STRANGER,BEH.SP_DUR_STRANGER,BEH.SP_LAT_STRANGER,BEH.SP_TOT_DIST,BEH.SP_INDEX,BEH.NO_TRIAL2_OBJ1_TOT_DUR,BEH.NO_TRIAL2_OBJ2_TOT_DUR,BEH.NO_TRIAL2_TOT_DIST,BEH.NO_TRIAL3_OBJ1_TOT_DUR,BEH.NO_TRIAL3_OBJ2_TOT_DUR,BEH.NO_TRIAL3_TOT_DIST,BEH.PP_PARTNER_TOT_BOUTS,BEH.PP_PARTNER_TOT_DUR,BEH.PP_PARTNER_LAT,BEH.PP_TOT_DIST,BEH.PP_STRANGER_TOT_BOUTS,BEH.PP_STRANGER_TOT_DUR,BEH.PP_STRANGER_LAT,BEH.PP_INDEX,BEH.VOLE_COUNT
93,140,23,2,2/23/2018,GN32,Complete Data,140-120,M,120,MID,5.5,59.7,42,42.5,43.5,79,75,17.5,27,83,1,12,42.245,76924.305,18.5,80.83,24.225,20,46.495,301.82,-0.53775,0.23115,4855.95,10.5,42.61,84.435,14.5,57.305,88.09,6569.145,-0.32735,3.5,3.47,4374.8,0,6.81,4953.21,12,286.85,0,7223.34,6,84.42,16.88,0.5452,2
87,110,23,2,2/23/2018,GN30,Incomplete Data,110-173,M,173,LOW,,29.7,15,52,,41,36,16.5,27,73,1,5,17.32,30262.29,15,51.72,190.96,0,0,600,-1,0,2608.7,12,41.14,13.68,13,67.37,169.97,4202.61,0.2417,,,,,,,,,,,,,,,1
111,170,26,2,2/26/2018,RD23,Complete Data,170-117,F,117,MID,16.5,34,6,24.5,63.5,44.7,58,14,15,51,1,19.5,44.495,72229.055,22.5,63.03,12.36,1,1.52,383.55,-0.9498,0.0251,9476.015,12,53.17,337.955,12,45.345,304.27,9487.435,-0.0794,37.47,85.05,8634.05,19.585,80.7,7376.19,16.5,180.11,11.81,11559.245,10,111.595,10.945,0.2945,2
43,102,14,2,2/14/2018,BK15,Incomplete Data,102-H1-6E,M,H1-6E,MID,4.5,57.3,,32,6,32,,12,20,41,1,21.5,46.395,63552.76,32,103.235,128.565,4,14.55,53.37,-0.77345,0.1133,4133.695,18,49.8,22.17,0,0,600,6623.19,-1,52.65,68.7,10020.295,34.735,38.855,8109.09,12,147.115,118.22,10518.3,11.5,190.075,213.93,-0.22415,2
154,102,15,5,5/15/2018,BL61,Incomplete Data,102-H1-6EX,M,H1-6EX,5MT,10,41,,35.5,52,45.3,,23,4,39,1,11.5,21.705,95879.03,19,93.325,47.61,22.5,238.405,17.9,0.3424,0.67125,13712.865,19.5,165.315,20.79,26,160.525,5.82,13518.36,-0.00375,73.29,38.905,17540.325,58.375,42.825,13289.135,31.5,175.645,11.33,19298.125,21,160.395,56.405,0.0738,2
160,214,15,5,5/15/2018,RD63,Incomplete Data,214-128,M,128,5MT,6,47.3,,45.5,44,82.3,,28,43,58,1,12,15.98,69764.84,14,133.9,22.79,15,263.7,11.34,0.3265,0.6632,12941.46,18,197.56,3,17,180.65,16.22,13626.19,-0.0447,29.5,36.4,13124.41,14.18,18.32,7571.24,16,274.27,2.47,11909.46,9,165.07,18.59,0.2486,1
218,153,22,6,6/22/2018,BK37,Incomplete Data,153-179,M,179,MID,,55.3,9,51,,48,34,22,39,79,1,,,,21,299.37,4.24,20,137.8,32.47,-0.3696,0.3152,18935.95,23,206.61,7.87,23,263.36,0.63,15118.88,0.1208,,,,,,,,,,,,,,,1
235,H1-6A,30,6,6/30/2018,TL11,Incomplete Data,H1-6A-H1-9BX,M,H1-9BX,CTRL,,49.3,10,61,,50.7,33,19,44,100,1,14.5,36.205,74458.81,14,186.905,147.33,14.5,283.82,6.725,0.2125,0.60625,11299.785,14.5,165.32,28.915,16,230.08,24.775,10603.34,0.1631,21.305,64.515,12314.115,12.715,56.54,8223.655,23,241.34,7.675,20137.855,24,182.265,10.01,0.1282,2
194,XXX,23,5,5/23/2018,GN70,Incomplete Data,XXX-154,M,154,5MT,21,63.7,,27,99.5,70.3,,24,32,106,1,19,43.56,72368.975,16.5,272.875,9.96,12,124.31,15.485,-0.3664,0.3168,9938.055,17.5,242.46,4.555,16.5,191.195,38.54,12679.405,-0.1208,14.55,44.93,11422.575,30.435,28.58,10253.445,11,139.275,30.265,14540.15,15.5,303.82,2.435,-0.3045,2
18,131,6,2,2/6/2018,BL17,Complete Data,131-146,M,146,CTRL,7.5,42.7,20,29,45.5,59,35,14,15,98,1,7,40.61,43037.31,28,158.09,15.02,5,19.12,68.67,-0.7842,0.1079,5184.77,10,39.57,114.61,0,0,600,828.15,-1,43.84,57.99,5940.15,48.11,43.01,8982.16,6,446.11,9.41,4064.36,6,66.97,1.2,0.7389,1
