"VOLE_ID","TRT","SEX","AVP_ANTERIOR_PVN","AVP_MEDIAL_PVN","AVP_POSTERIOR_PVN","AVP_SON","OT_ANTERIOR_PVN","OT_MEDIAL_PVN","OT_POSTERIOR_PVN","OT_SON","TH_BNST","TH_PVN","DATA_CHECK"
"4","CTRL","F","4.5000","57.0000","9.0000","27.0000","44.0000","50.3000","27.0000","12.5000","1.0000","57.0000","Complete Data"
"9","CTRL","F","13.5000","70.7000","23.0000","49.5000","57.5000","76.3000","82.0000","24.5000","26.0000","47.0000","Complete Data"
"13","CTRL","F","9.0000","56.7000","13.0000","29.5000","39.5000","33.0000","40.0000","18.5000","22.0000","62.0000","Complete Data"
"20","CTRL","F","","76.7000","38.0000","43.0000","","77.3000","63.0000","18.5000","7.0000","44.0000","Semi-Complete"
"21","CTRL","F","23.0000","92.0000","38.0000","50.5000","49.5000","60.7000","72.0000","15.5000","2.0000","72.0000","Complete Data"
"26","CTRL","F","","48.3000","","","","76.7000","","","1.0000","","Incomplete Data"
"35","CTRL","F","11.5000","","7.0000","31.5000","30.5000","","34.0000","11.5000","14.0000","81.0000","Incomplete Data"
"36","CTRL","F","8.5000","","28.0000","42.5000","57.0000","","65.0000","25.5000","10.0000","86.0000","Incomplete Data"
"252","CTRL","F","7.5000","41.3000","7.0000","29.0000","66.5000","72.3000","38.0000","14.5000","13.0000","54.0000","Complete Data"
"253","CTRL","F","27.5000","","","26.5000","50.0000","","","13.0000","8.0000","70.0000","Incomplete Data"
"47","LOW","F","3.0000","64.3000","49.0000","29.0000","49.0000","81.3000","61.0000","10.0000","13.0000","99.0000","Complete Data"
"50","LOW","F","","41.0000","27.0000","25.5000","","79.7000","62.0000","14.5000","14.0000","66.0000","Semi-Complete"
"54","LOW","F","8.5000","","54.0000","38.5000","52.5000","","61.0000","22.0000","9.0000","90.0000","Incomplete Data"
"58","LOW","F","","","3.0000","62.0000","","","33.0000","24.0000","18.0000","130.0000","Incomplete Data"
"79","LOW","F","12.5000","44.7000","","50.5000","63.5000","49.7000","","36.5000","24.0000","105.0000","Semi-Complete"
"83","LOW","F","","58.3000","2.0000","39.5000","","67.7000","32.0000","13.5000","3.0000","57.0000","Semi-Complete"
"85","LOW","F","6.0000","54.7000","","31.5000","26.0000","71.0000","","6.5000","","","Incomplete Data"
"89","LOW","F","","","59.0000","36.0000","","","40.0000","13.0000","3.0000","60.0000","Incomplete Data"
"99","LOW","F","","","45.0000","23.5000","","","75.0000","18.0000","2.0000","92.0000","Incomplete Data"
"105","LOW","F","7.0000","","","38.0000","33.0000","","","10.0000","1.0000","52.0000","Incomplete Data"
"209","LOW","F","15.5000","38.7000","34.0000","44.5000","36.5000","41.0000","58.0000","19.5000","13.0000","","Incomplete Data"
"210","LOW","F","16.0000","58.0000","34.0000","62.0000","41.0000","48.3000","79.0000","23.5000","1.0000","","Incomplete Data"
"217","LOW","F","3.5000","52.0000","2.0000","71.0000","36.0000","44.3000","39.0000","22.0000","5.0000","113.0000","Complete Data"
"30","MID","F","8.0000","33.3000","7.0000","32.5000","40.5000","44.7000","45.0000","23.5000","15.0000","69.0000","Complete Data"
"45","MID","F","3.0000","48.3000","3.0000","39.0000","34.0000","62.3000","49.0000","26.0000","","60.0000","Incomplete Data"
"46","MID","F","4.0000","32.0000","5.0000","19.5000","39.5000","59.7000","25.0000","15.5000","","","Incomplete Data"
"64","MID","F","23.5000","65.3000","57.0000","48.5000","39.5000","70.7000","71.0000","18.0000","3.0000","83.0000","Complete Data"
"65","MID","F","1.5000","31.7000","29.0000","49.0000","25.5000","52.7000","30.0000","25.5000","8.0000","119.0000","Complete Data"
"91","MID","F","","","6.0000","","","","65.0000","","16.0000","67.0000","Incomplete Data"
"111","MID","F","16.5000","34.0000","6.0000","24.5000","63.5000","44.7000","58.0000","14.0000","15.0000","51.0000","Complete Data"
"114","MID","F","","43.0000","20.0000","35.0000","","46.0000","27.0000","20.5000","16.0000","85.0000","Semi-Complete"
"120","MID","F","4.5000","49.3000","19.0000","29.0000","71.0000","40.0000","53.0000","14.0000","1.0000","60.0000","Complete Data"
"121","MID","F","15.5000","","17.0000","47.0000","74.0000","","68.0000","5.5000","15.0000","69.0000","Incomplete Data"
"211","MID","F","","","35.0000","43.5000","","","48.0000","23.5000","6.0000","66.0000","Incomplete Data"
"66","HIGH","F","4.0000","42.7000","68.0000","38.0000","43.5000","66.7000","66.0000","13.5000","14.0000","120.0000","Complete Data"
"69","HIGH","F","6.0000","62.3000","","30.5000","53.5000","67.0000","","18.0000","1.0000","72.0000","Semi-Complete"
"71","HIGH","F","8.0000","40.0000","","37.5000","40.5000","45.7000","","15.0000","15.0000","114.0000","Semi-Complete"
"73","HIGH","F","2.0000","36.3000","16.0000","29.5000","31.5000","46.0000","45.0000","14.0000","3.0000","63.0000","Complete Data"
"78","HIGH","F","10.0000","55.3000","17.0000","40.0000","35.5000","80.0000","49.0000","20.0000","19.0000","56.0000","Complete Data"
"132","HIGH","F","1.5000","30.7000","","39.5000","20.0000","33.0000","","14.0000","6.0000","42.0000","Semi-Complete"
"136","HIGH","F","5.0000","53.0000","62.0000","22.0000","39.0000","70.7000","84.0000","18.5000","12.0000","97.0000","Complete Data"
"138","HIGH","F","2.5000","46.0000","37.0000","26.5000","32.0000","62.7000","58.0000","9.5000","6.0000","54.0000","Complete Data"
"199","HIGH","F","","67.0000","7.0000","","","54.0000","44.0000","","5.0000","31.0000","Incomplete Data"
"222","HIGH","F","8.0000","52.7000","48.0000","46.0000","36.5000","73.3000","64.0000","24.5000","15.0000","82.0000","Complete Data"
"147","5MT","F","2.5000","63.3000","66.0000","41.0000","35.5000","68.3000","46.0000","11.5000","12.0000","89.0000","Complete Data"
"157","5MT","F","17.0000","74.3000","","63.0000","28.0000","69.3000","","26.5000","11.0000","151.0000","Semi-Complete"
"161","5MT","F","7.5000","29.0000","7.0000","48.5000","48.5000","30.7000","33.0000","20.5000","11.0000","112.0000","Complete Data"
"165","5MT","F","12.5000","66.7000","","38.0000","69.5000","58.0000","","20.5000","3.0000","96.0000","Semi-Complete"
"169","5MT","F","6.0000","54.0000","47.0000","","58.5000","32.3000","49.0000","","9.0000","111.0000","Incomplete Data"
